285,0,185284,544
286,0,169981,177
287,0,156123,986
288,0,142569,657
289,0,131077,363
290,0,125826,743
291,0,123130,360
292,0,123984,110
293,0,128615,181
294,0,134947,609
295,0,143970,777
296,0,154571,752
297,0,166459,576
298,0,179258,579
299,0,192091,808
300,0,205038,363
301,0,219419,811
302,0,233165,96
303,0,246001,30
304,0,259537,298
305,0,275187,152
306,0,290535,100
307,0,304678,728
308,0,321759,446
309,0,337090,836
310,0,352754,677
311,0,371077,535
312,0,388840,260
313,0,405335,366
314,0,424294,851
315,0,440885,903
316,0,454962,513
317,0,474044,0
318,0,490688,566
319,0,503394,872
320,0,520429,30
321,0,534361,755
322,0,543985,593
323,0,558491,549
324,0,573036,329
325,0,581021,914
326,0,591244,485
327,0,602220,359
328,0,608174,708
329,0,613272,412
330,0,621147,171
331,0,624817,784
332,0,626791,111
333,0,630343,591
334,0,628927,877
335,0,629104,701
336,0,629988,588
337,0,623979,254
338,0,619434,580
339,0,616773,285
340,0,608598,116
341,0,601742,252
342,0,597925,735
343,0,589551,477
344,0,577866,378
345,0,570337,751
346,0,558160,630
347,0,546110,972
348,0,537400,201
349,0,526203,613
350,0,513560,755
351,0,503903,92
352,0,489664,870
353,0,477064,37
354,0,465388,319
355,0,452409,644
356,0,439643,545
357,0,427995,276
358,0,415533,658
359,0,400679,638
360,0,388725,602
361,0,376479,156
362,0,362674,524
363,0,351326,414
364,0,339990,70
365,0,328019,608
366,0,317124,735
367,0,305511,723
368,0,294174,622
369,0,283568,55
370,0,273124,974
371,0,262847,727
372,0,253641,162
373,0,244091,599
374,0,233909,793
375,0,224349,467
376,0,216106,349
377,0,206656,879
378,0,197762,491
379,0,190590,684
380,0,182637,587
381,0,174805,448
382,0,167300,445
383,0,160305,748
384,0,152358,447
385,0,145944,971
386,0,139549,775
387,0,132512,508
388,0,126771,154
389,0,121025,72
390,0,115128,115
391,0,110157,87
392,0,104811,912
393,0,99548,194
394,0,95053,878
395,0,90581,245
396,0,86072,457
397,0,81929,683
398,0,77683,893
399,0,73677,425
400,0,69829,794
401,0,66771,97
402,0,63221,382
403,0,60037,260
404,0,57352,650
405,0,54606,670
406,0,51927,698
407,0,49559,207
408,0,47132,22
409,0,45043,628
410,0,42975,555
411,0,40942,521
412,0,38956,728
413,0,37268,830
414,0,35381,893
415,0,33631,936
416,0,32210,599
417,0,30758,359
418,0,29272,690
419,0,28027,69
420,0,26704,965
421,0,25549,758
422,0,24400,789
423,0,23246,549
424,0,22123,565
425,0,21276,636
426,0,20277,8
427,0,19386,772
428,0,18527,967
429,0,17738,908
430,0,16807,117
431,0,16191,252
432,0,15396,819
433,0,14771,348
434,0,14143,273
435,0,13524,900
436,0,12847,383
437,0,12318,614
438,0,11746,355
439,0,11266,882
440,0,10852,536
441,0,10334,161
442,0,9882,564
443,0,9485,429
444,0,9097,483
445,0,8701,889
446,0,8379,115
447,0,8011,382
448,0,7697,669
449,0,7400,681
450,0,7095,423
